Com.Code;Item.Code;Item;Unit;Group;Moisture;Feedtype;Com.Group;120;Cattle
c034;2611;Oranges, Mandarines;tonnes;Primary crops;0.86;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c035;2612;Lemons, Limes and products;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c036;2613;Grapefruit and products;tonnes;Primary crops;0.88;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c037;2614;Citrus, Other;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c038;2615;Bananas;tonnes;Primary crops;0.75;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c039;2616;Plantains;tonnes;Primary crops;0.66;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c040;2617;Apples and products;tonnes;Primary crops;0.85;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c041;2618;Pineapples and products;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c042;2619;Dates;tonnes;Primary crops;0.22;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c043;2620;Grapes and products (excl wine);tonnes;Primary crops;0.81;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c044;2625;Fruits, Other;tonnes;Primary crops;0.85;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c045;2630;Coffee and products;tonnes;Primary crops;0;Feed crops;Coffee, tea, cocoa;TRUE;FALSE
c046;2633;Cocoa Beans and products;tonnes;Primary crops;0.1;Feed crops;Coffee, tea, cocoa;TRUE;FALSE
c047;2635;Tea (including mate);tonnes;Primary crops;0.1;Feed crops;Coffee, tea, cocoa;TRUE;FALSE
c048;677;Hops;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c049;2640;Pepper;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c050;2641;Pimento;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c051;2642;Cloves;tonnes;Primary crops;0.05;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c052;2645;Spices, Other;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c053;2662;Jute;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;FALSE
c054;2663;Jute-Like Fibres;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;FALSE
c055;2664;Soft-Fibres, Other;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;FALSE
c056;2665;Sisal;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;FALSE
c057;2666;Abaca;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;FALSE
c058;2667;Hard Fibres, Other;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE;FALSE
c059;2671;Tobacco;tonnes;Primary crops;0;Feed crops;Tobacco, rubber;TRUE;FALSE
c060;2672;Rubber;tonnes;Primary crops;0;Feed crops;Tobacco, rubber;TRUE;FALSE
c061;2000;Fodder crops;tonnes;Primary crops;0.85;Grass;Fodder crops, grazing;TRUE;FALSE
c062;2001;Grazing;tonnes;Primary crops;0.8;Grass;Fodder crops, grazing;TRUE;FALSE
c063;2559;Cottonseed;tonnes;Crop products;0.1;Feed crops;Fibre crops;TRUE;FALSE
c064;2562;Palm kernels;tonnes;Crop products;0.1;Feed crops;Oil crops;TRUE;FALSE
c065;2541;Sugar non-centrifugal;tonnes;Crop products;0.01;Feed crops;Sugar, sweeteners;TRUE;FALSE
c066;2544;Molasses;tonnes;Crop products;0.17;Feed crops;Sugar, sweeteners;TRUE;FALSE
c067;2818;Sugar, Refined Equiv;tonnes;Crop products;0;Feed crops;Sugar, sweeteners;TRUE;FALSE
c068;2543;Sweeteners, Other;tonnes;Crop products;0.1;Feed crops;Sugar, sweeteners;TRUE;FALSE
c069;2571;Soyabean Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c070;2572;Groundnut Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c071;2573;Sunflowerseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c072;2574;Rape and Mustard Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c073;2575;Cottonseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c074;2576;Palmkernel Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c075;2577;Palm Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c076;2578;Coconut Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c077;2579;Sesameseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c078;2580;Olive Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c079;2581;Ricebran Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c080;2582;Maize Germ Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c081;2586;Oilcrops Oil, Other;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE;FALSE
c082;2590;Soyabean Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c083;2591;Groundnut Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c084;2592;Sunflowerseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c085;2593;Rape and Mustard Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c086;2594;Cottonseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c087;2595;Palmkernel Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c088;2596;Copra Cake;tonnes;Crop products;0.12;Feed crops;Oil cakes;TRUE;FALSE
c089;2597;Sesameseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c090;2598;Oilseed Cakes, Other;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE;FALSE
c091;2655;Wine;tonnes;Crop products;0.85;Feed crops;Alcohol;TRUE;FALSE
c092;2656;Beer;tonnes;Crop products;0.95;Feed crops;Alcohol;TRUE;FALSE
c093;2657;Beverages, Fermented;tonnes;Crop products;0.9;Feed crops;Alcohol;TRUE;FALSE
c094;2658;Beverages, Alcoholic;tonnes;Crop products;0.8;Feed crops;Alcohol;TRUE;FALSE
c095;2659;Alcohol, Non-Food;tonnes;Crop products;0.2;Feed crops;Ethanol;TRUE;FALSE
c096;2661;Cotton lint;tonnes;Crop products;0.1;Feed crops;Fibre crops;TRUE;FALSE
c097;866;Cattle;1000 Head;Livestock;0;NA;Live animals;TRUE;TRUE
c098;946;Buffaloes;1000 Head;Livestock;0;NA;Live animals;FALSE;TRUE
c099;976;Sheep;1000 Head;Livestock;0;NA;Live animals;TRUE;FALSE
c100;1016;Goats;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c101;1034;Pigs;1000 Head;Livestock;0;NA;Live animals;TRUE;FALSE
c102;2029;Poultry Birds;1000 Head;Livestock;0;NA;Live animals;TRUE;FALSE
c103;1096;Horses;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c104;1107;Asses;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c105;1110;Mules;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c106;1126;Camels;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c107;1157;Camelids, other;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c108;1140;Rabbits and hares;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c109;1150;Rodents, other;1000 Head;Livestock;0;NA;Live animals;FALSE;FALSE
c110;1171;Live animals, other;1000 Head;Livestock;0;NA;Live animals;TRUE;FALSE
c111;2848;Milk - Excluding Butter;tonnes;Livestock products;0.875;Animal products;Milk;TRUE;TRUE
c112;2740;Butter, Ghee;tonnes;Livestock products;0.15;Animal products;Milk;FALSE;TRUE
c113;2744;Eggs;tonnes;Livestock products;0.744;Animal products;Eggs;TRUE;FALSE
c114;2746;Wool (Clean Eq.);tonnes;Livestock products;0;Animal products;Hides, skins, wool;TRUE;FALSE
c115;2731;Bovine Meat;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;TRUE
c116;2732;Mutton & Goat Meat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE;FALSE
c117;2733;Pigmeat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE;FALSE
c118;2734;Poultry Meat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE;FALSE
c119;2735;Meat, Other;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;FALSE
c120;2736;Offals, Edible;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;TRUE
c121;2737;Fats, Animals, Raw;tonnes;Livestock products;0.01;Animal products;Animal fats;TRUE;TRUE
c122;2748;Hides and skins;tonnes;Livestock products;0;Animal products;Hides, skins, wool;TRUE;TRUE
c123;2749;Meat Meal;tonnes;Livestock products;0.075;Animal products;Meat;TRUE;TRUE
c124;843;Pet food;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;TRUE
c125;2745;Honey;tonnes;Livestock products;0.17;Animal products;Honey;TRUE;FALSE
c126;2747;Silk;tonnes;Livestock products;0;Animal products;Hides, skins, wool;TRUE;FALSE
c127;2960;Fish, Seafood;tonnes;Fish;0.7;Animal products;Fish;TRUE;FALSE
c128;1864;Wood fuel;m3;Wood;0;NA;Wood;TRUE;FALSE
c129;1866;Industrial roundwood, coniferous;m3;Wood;0;NA;Wood;TRUE;FALSE
c130;1867;Industrial roundwood, non-coniferous;m3;Wood;0;NA;Wood;TRUE;FALSE
